masked_word,target,original_word,wrong_guesses
____ta_y,o,covotary,"['i', 'e', 'n', 'l']"
___e_m__,n,underman,"['i', 'o', 't', 's', 'l']"
ph__t__y,a,phantomy,"['i', 'r', 's', 'e']"
di__st_r,e,digester,['a']
_h___o_s,l,phyllous,"['e', 'i', 'a']"
s___cu__,i,silicula,"['r', 'e', 't']"
___ig___,a,alligate,"['n', 'r', 'o', 's']"
_i__l__i,g,ginglyni,"['o', 'e', 'r']"
_a_ryman,i,dairyman,['l']
_i_v_r__,e,midverse,"['o', 'n', 'l']"
_n___it_,a,analcite,"['u', 'r', 'o', 's']"
_urnov_r,e,burnover,"['s', 't']"
su___i__,a,subarian,"['e', 'l', 'o', 't']"
_o___a__,w,downward,"['l', 'c', 's', 'b']"
__t___v_,e,rethrive,"['o', 'a', 'n', 'u']"
m_lcta_y,r,mulctary,['i']
s__v____,e,sliverer,"['a', 'o', 'n', 't', 'u']"
j_ll_dom,e,jellydom,"['a', 'i']"
si__hole,n,sinkhole,['x']
_t_i__i_,a,striaria,"['n', 'l', 'o']"
_n___s__,a,anacusia,"['e', 'o', 'r', 't', 'l']"
sa__a_o_,n,sangamon,"['r', 'l', 'd']"
__s___t_,e,mesolite,"['a', 'n', 'r', 'c']"
___t_ni_,o,crotonic,"['a', 'e', 's', 'p']"
_cholou_,a,acholous,['i']
s_arless,c,scarless,['p']
_niaxial,u,uniaxial,"['s', 'm']"
_____ete,r,discrete,"['o', 'a', 'n', 'l']"
c__c___a,n,cinchona,"['e', 'r', 'l', 't', 's']"
_h_ml_ng,i,whimling,['a']
sta_h_rn,o,staghorn,['c']
____ri__,e,feterita,"['o', 'n', 's', 'l']"
oto_____,i,otogenic,"['a', 's', 'r', 'l']"
__l___al,p,pulmonal,"['i', 'e', 'c', 's', 't']"
_a_t_l_s,c,dactylis,"['u', 'e', 'r', 'p']"
_nh__k_d,a,unhacked,"['o', 'i', 'r']"
thel_t_s,i,thelitis,['o']
c__ti___,e,cestidae,"['n', 'o', 'r', 'l']"
_ra__ma_,f,draffman,"['t', 'c', 's', 'g']"
rin_l_ss,e,ringless,['k']
mi__p_nd,s,misspend,"['o', 'l']"
whimwh_m,a,whimwham,"['e', 'o']"
_y_l__ic,o,myelonic,"['s', 'g', 't', 'a']"
_yb_____,a,hyblaean,"['i', 's', 'o', 'r', 't']"
_i__m___,t,libament,"['o', 'r', 's', 'd']"
newsbo__,a,newsboat,"['r', 'l']"
_o__v___,i,motivity,"['e', 'n', 'a', 'l']"
pu__r_u_,o,putorius,"['l', 'e', 'a', 'n']"
f__u_de_,a,faburden,"['o', 'i', 'l']"
__d___o_,i,indictor,"['e', 'a', 's', 'l']"
i_o_etry,s,isometry,"['n', 'l']"
vale_t__,n,valentin,"['o', 's']"
p_r___d_,a,paramide,"['o', 'n', 's', 't']"
g_ffered,o,goffered,['a']
___t____,e,dentelle,"['o', 'i', 'a', 'r', 's']"
_ng_la_e,u,ungulate,"['i', 'z']"
_u____r_,i,cubiform,"['e', 'a', 't', 'n']"
fem_n_sm,i,feminism,['a']
b____i_e,n,buntline,"['o', 'a', 'r']"
_a_arac_,k,tamarack,"['b', 'p', 's', 'h']"
__rb_rn_,o,forborne,"['u', 'a', 'i']"
o_t__t__,a,octantal,"['u', 'e', 'i', 's']"
f__ewo_m,r,fireworm,"['a', 'l']"
clayw___,e,clayweed,"['o', 'r']"
l___d__d,i,lepadoid,"['n', 'r', 'g', 't']"
_i___ma_,r,riverman,"['s', 'l', 'd']"
_hasir_n,o,phasiron,"['y', 'c']"
____d__h,r,proudish,"['e', 'a', 'n', 't', 'l']"
_in___g_,o,oinology,"['e', 'a', 's', 'r']"
p__s___y,a,pausably,"['r', 'o', 'e']"
s____k__,e,spreckle,"['i', 'a', 'o', 'n', 't']"
ante_ert,v,antevert,"['b', 'm']"
__akfish,w,weakfish,"['b', 'r']"
_avi_ert,n,navicert,['l']
m__c____,e,mancipee,"['r', 'o', 's', 'l']"
h__ilete,o,homilete,['a']
m_u_d__t,o,moundlet,"['a', 'r', 's', 'i']"
__u_tin_,v,vaulting,"['o', 'r', 's']"
___nv__t,e,reinvert,"['o', 'a', 's', 'c']"
_l____ls,n,flannels,"['o', 'i', 'r', 't', 'c']"
__d__r__,a,madeiran,"['o', 's', 't', 'u']"
tra_p_o_,m,trampdom,"['n', 's']"
h_____k_,e,headlike,"['o', 'r', 'n', 's']"
overho_r,u,overhour,['a']
___es__e,h,halesome,"['i', 'r', 'n', 't']"
s_______,e,screever,"['i', 'o', 'a', 'n', 't']"
_u_tc___,s,suitcase,"['h', 'o', 'r']"
ma_ol_ca,i,majolica,['s']
pata_hte,s,patashte,"['c', 'g']"
_m__a__r,i,imitator,"['e', 'l', 'b', 'p']"
j_lthea_,o,jolthead,"['u', 'm']"
______it,r,underbit,"['o', 'a', 's', 'l', 'c']"
_o_rth__,l,fourthly,"['a', 'n', 'i', 'e']"
h_____s_,i,hylicism,"['o', 'e', 'a', 'r', 't']"
b_____t_,i,bifidate,"['o', 'r', 'n', 's']"
t_eatr_n,o,theatron,['i']
s__rem__,a,shoreman,"['t', 'u', 'i', 'c']"
pollut__,e,polluted,['a']
cr______,l,crabmill,"['o', 'e', 'n', 's', 't']"
fe_alely,m,femalely,"['r', 'd']"
cench__s,r,cenchrus,['o']
_____i_l,a,material,"['o', 'n', 's', 'c']"
p_l_____,i,pilotage,"['n', 'y', 'r', 's']"
___qu_n_,e,eloquent,"['i', 'a', 's', 'r']"
e_e____e,r,evermore,"['l', 'n', 'i', 't']"
i__be__e,l,isabelle,"['n', 'o', 'r', 't']"
_a_o__a_,n,paeonian,"['r', 'l', 'c', 'm', 's']"
__d_m__t,e,sediment,"['o', 'a', 'u', 'r']"
______in,s,capeskin,"['o', 'r', 't', 'l']"
unrous__,e,unroused,['y']
_o__wa__,r,romeward,"['s', 'l', 'k']"
___n_a_n,i,quintain,"['o', 'r', 'e', 's', 'h']"
sa_age_y,v,savagery,"['l', 't']"
pe__l__e,a,petalage,"['i', 'r', 'n', 'o']"
h_usefl_,o,housefly,['a']
bir_di_l,a,biradial,['e']
_ataly_e,z,katalyze,"['c', 'p']"
____l_ss,e,heatless,"['o', 'i', 'r', 'n', 'c']"
c___pin_,a,cheaping,"['o', 'r', 's']"
_ro___n_,e,croceine,"['s', 'a', 'p', 't']"
s_r__hr_,a,sarothra,"['i', 'e', 'c', 'n']"
ou______,i,outfield,"['a', 'r', 'n', 's']"
_er_e_e_,v,nervelet,"['s', 'd', 'p', 'c', 'm']"
wa__ene_,r,warrener,"['d', 't']"
_ev____e,i,devilize,"['r', 'a', 'o', 'n']"
___al__a,g,gonalgia,"['e', 's', 'd', 'r', 'c']"
_r_tli__,a,bratling,"['e', 'o', 's']"
____nt__,e,bezantee,"['i', 'o', 'r', 's', 'l']"
p_xill_r,a,paxillar,"['e', 'o']"
_oco_oco,m,mocomoco,"['l', 'r', 'b']"
m_t___ss,e,muteness,"['l', 'i', 'a']"
ove_la_d,r,overland,['w']
je__tone,w,jewstone,"['a', 'i']"
ela_t_ca,s,elastica,"['p', 'n']"
____t_t_,e,eseptate,"['i', 'o', 'r', 'n']"
_e_e__o_,r,recensor,"['t', 'i', 'l', 'a']"
_anat_t_,e,banatite,"['c', 's', 'o', 'p']"
____ei__,h,faroeish,"['n', 't', 'l', 'c', 'g']"
fi_a_i__,o,fixation,"['e', 'l', 's']"
p_ta__u_,o,petalous,"['i', 'm', 'c', 'n']"
m______e,l,mullidae,"['o', 'n', 'r', 't']"
_____ree,a,sangaree,"['o', 't', 'i', 'u']"
_____t__,r,narrator,"['e', 'i', 's', 'l', 'c']"
y____m_n,a,yeelaman,"['o', 'i', 'r']"
f____dom,a,freakdom,"['i', 'l', 's']"
mar_in_d,e,margined,"['l', 'k']"
l_c__in_,w,lacewing,"['o', 'r', 'u', 't']"
__ia_id_,h,thiamide,"['s', 'r', 'n']"
__a__o__,d,deadborn,"['s', 'l', 'c', 'h', 'g']"
pon__oed,h,ponchoed,"['i', 't']"
m__ksm__,a,marksman,"['c', 'i', 'e']"
ru_aceae,t,rutaceae,"['b', 'm']"
sp_e__r_,w,spaework,"['n', 'h', 'i', 'l']"
b_dq_ilt,e,bedquilt,"['a', 'o']"
a_a_m_n_,g,alarming,"['e', 't', 'd']"
____u_e_,r,zincuret,"['o', 's', 'a', 'l']"
ball_oom,r,ballroom,['d']
o__s____,h,outshape,"['i', 'n', 'r', 'l']"
oxy_min_,a,oxyamine,['s']
m_i__i_i,a,maithili,"['r', 'o', 'n', 'e']"
u__t_r_d,o,unstored,"['a', 'i', 'l', 'h']"
__ei____,h,theiform,"['n', 's', 'a', 'l', 'p']"
un_u_led,r,uncurled,['b']
cowleec_,h,cowleech,"['k', 's']"
_o__oc__,n,nonvocal,"['e', 'r', 's', 't']"
n_utilu_,a,nautilus,"['e', 'o']"
vica_ial,r,vicarial,"['d', 'n']"
__na____,r,pinafore,"['s', 't', 'm', 'd', 'c']"
_en___es,z,lenzites,"['a', 'o', 'r']"
____m___,a,atremata,"['i', 'o', 'n', 's', 'l']"
______nd,i,vilipend,"['o', 'a', 'r', 't', 's']"
l___s__r,e,lamester,"['i', 'o', 'n']"
___i__l_,a,satiable,"['n', 'o', 'r', 'c', 'u']"
__l__q__,e,palenque,"['i', 'o', 's', 'r', 'c']"
__tav_a_,o,octavian,"['e', 'l', 'u', 's']"
t__y__ke,a,traylike,"['o', 'n', 'u']"
___g___e,r,outglare,"['i', 'n', 's', 'c']"
s_______,c,scacchic,"['e', 'o', 'n', 'r', 't']"
___e_se_,t,interset,"['o', 'a', 'd', 'u']"
______od,t,magnetod,"['p', 'i', 'r', 's', 'l']"
sati_ist,r,satirist,"['v', 'c']"
so_r____,a,soarable,"['u', 'i', 'n', 't']"
____f__h,i,tilefish,"['o', 'a', 'r', 'n']"
__r__o__,i,firelock,"['a', 'n', 't', 's']"
_q_iddle,s,squiddle,['a']
c_rnific,o,cornific,"['a', 'u']"
ad__dric,e,adendric,"['o', 'y']"
__a_ba__,r,grayback,"['s', 'l', 't', 'd']"
se__l__y,a,sepalody,"['i', 'r', 't']"
s_nproo_,f,sinproof,['u']
____he_e,a,anatheme,"['o', 'r', 'c', 'i']"
san_s_a_,t,sandstay,"['w', 'l', 'g']"
un_aint_,d,undainty,"['s', 'h']"
u___t__s,e,unnethes,"['i', 'o', 'a', 'r']"
g_om_c__,a,gnomical,"['r', 'e', 'y']"
m_n_d___,o,monodist,"['e', 'a', 'r', 'l']"
overwe__,l,overwell,['s']
fo_e_aid,s,foresaid,"['l', 'n']"
kni____k,w,knitwork,"['e', 'c', 'a']"
co__ente,r,corrente,['m']
_h____o_,c,chavicol,"['e', 'n', 'r', 't']"
und_rs__,e,underset,['o']
__r__or_,a,barabora,"['i', 'e', 't', 'n']"
___ima__,o,korimako,"['e', 't', 'n', 'l']"
_ia_a_ma,l,diapalma,"['s', 'r', 'g', 'c']"
etr_r_an,i,etrurian,['m']
______m_,o,tenotome,"['i', 'a', 'r', 's', 'l']"
______ng,r,laboring,"['e', 't', 's', 'c', 'u']"
g__v____,a,graveman,"['o', 'i', 'l', 's', 't']"
_i____ly,t,bitterly,"['a', 'n', 's']"
____m_an,e,overmean,"['i', 's', 'l']"
span__ia,e,spanemia,"['d', 'g']"
k____d_r,o,komondor,"['e', 'i', 'a', 'l']"
____ri__,y,unwarily,"['e', 'o', 't', 's', 'c']"
ger_ani_,c,germanic,['s']
t___i___,e,tensible,"['r', 'o', 'a', 'c']"
____l_n_,b,bubbling,"['e', 'a', 'o', 'r', 't']"
_eb__e__,a,hebraean,"['i', 's', 't', 'o', 'l']"
__mf____,u,dumfound,"['i', 'c', 'e', 'r']"
_e_a____,r,bevatron,"['i', 'g', 's', 'l']"
_____ti_,a,caryatid,"['e', 'o', 'n', 's']"
b__k_el_,v,backveld,"['o', 'i', 'r']"
_ootst__,f,footstep,"['r', 'i', 'a']"
_hitec_p,a,whitecap,"['o', 'u']"
barr_k_n,i,barrikin,"['e', 'o']"
sc______,e,screened,"['o', 'i', 'a', 'l', 't']"
unw___u_,o,unwoeful,"['a', 'r', 'i', 't']"
d__l___e,o,duologue,"['i', 'a', 's', 'r']"
__e_k__g,n,sneaking,"['r', 'c', 'l']"
___fe___,t,outfeast,"['r', 'i', 'n', 'l', 'c']"
canc_l_r,e,canceler,['u']
___t___l,r,rectoral,"['i', 'n', 's', 'u']"
qu_ryi_t,s,queryist,['a']
___s__i_,n,nursekin,"['o', 'a', 't', 'l', 'c']"
re_anner,t,retanner,['m']
u___e_e_,y,unobeyed,"['r', 't', 'i', 's']"
n_ke___e,a,nakedize,"['o', 'l', 'r', 't']"
r_____l_,a,readable,"['i', 'o', 'n', 't']"
a_ianism,r,arianism,"['v', 'b']"
__e__a__,r,overpart,"['s', 'l', 'c', 'n']"
__cc_n_l,s,succinyl,"['a', 'o', 'e', 'r']"
__g_mm_d,u,ungummed,"['a', 'r', 'i']"
___gi___,a,stagiary,"['o', 'n', 'e', 'l']"
lo___o__,r,longwork,"['e', 'i', 'a', 's']"
_aga___e,s,sagamite,"['n', 'l', 'r', 'z']"
oleo__ct,d,oleoduct,['a']
_o_d_o__,s,loadsome,"['n', 'r', 'i', 'c']"
_e__s_ic,a,gelastic,"['n', 'r', 'o', 'm']"
____ri__,s,tolerism,"['a', 'n', 'c', 'u', 'p']"
_r_v____,i,bravoite,"['p', 'n', 'l', 's', 'c']"
r_s_rv_d,e,reserved,"['o', 'a']"
__hy_r__,d,ephydrid,"['a', 'o', 'n', 's']"
_a___r__,e,mackerel,"['d', 's', 't', 'n']"
_nlo__n_,v,unloving,"['e', 'a', 't']"
lamii_ae,d,lamiidae,"['n', 'r']"
tus___ss,l,tuskless,"['n', 'i', 'h', 'a']"
a__raeid,s,astraeid,"['p', 'u']"
t_m_____,e,timekeep,"['a', 'o', 'n', 'r']"
t__et__s,o,tonetics,"['a', 'r', 'l']"
boondoc_,k,boondock,['e']
_o_ad_a_,n,nomadian,"['r', 'c', 'l', 's']"
aga_etae,p,agapetae,"['m', 'n']"
_ri_ic__,t,triticum,"['a', 'l', 'n']"
tat___ra,u,tatukira,"['e', 'l', 'n']"
st__g_l_,o,stodgily,"['n', 'a', 'r', 'e']"
_e__cy_e,o,hemocyte,"['l', 'a', 's']"
__e___n_,p,pieplant,"['r', 'o', 's', 'c', 'g']"
e_h_____,u,echiurus,"['n', 'o', 't', 'a']"
qu__r___,a,quadriad,"['e', 'n', 'o']"
___e___k,r,laverock,"['i', 'n', 't', 's']"
m_____t_,i,misbirth,"['e', 'a', 'o', 'n', 'l']"
_n_ip_d_,o,antipode,"['u', 'c', 'l']"
____d__g,i,braiding,"['e', 'o', 'l', 's', 't']"
u__elief,b,unbelief,"['r', 's']"
___i___m,r,seriform,"['n', 'a', 't', 'l']"
__a_dan_,u,guardant,"['s', 'l', 'e', 'c']"
__en____,i,identify,"['o', 'r', 'a', 's', 'l']"
__a_t__k,s,shastrik,"['c', 'o', 'l', 'n']"
__p_ri_e,v,vaporize,"['t', 's', 'n', 'u']"
c_ll___e,o,colloque,"['a', 'i', 'r']"
_r_ss_rm,a,crossarm,"['e', 'i', 'u', 'd']"
isohex__,l,isohexyl,['a']
__t___z_,u,futurize,"['a', 'o', 'n', 'l']"
beech_u_,n,beechnut,"['o', 'l']"
_histle_,w,whistler,['d']
__s__ing,a,castling,"['e', 'r', 'o']"
eulyt__e,i,eulytine,['o']
irrisor_,y,irrisory,"['e', 'a']"
i_ce_ter,n,incenter,"['p', 's']"
_u_tu__n,a,guatusan,"['r', 'l', 'i']"
c_ve_one,i,civetone,['a']
____a_i_,r,serranid,"['c', 'l', 'o', 'u']"
run__ess,g,rungless,"['d', 't']"
s____a__,l,stellate,"['r', 'i', 'c']"
pr___ps_,y,progypsy,"['e', 'i', 'a']"
_orn____,h,hornfish,"['e', 'c', 'a']"
s_r_bi_n,a,sorabian,['e']
n_u___n_,a,nauseant,"['i', 'o', 'r', 'l']"
__a_e_ic,h,phaneric,"['t', 'l', 'm', 'g']"
__l__i__,e,melamine,"['o', 't', 'r', 's']"
tr_ph_le,a,traphole,"['i', 'y']"
d___u_u_,s,dasyurus,"['i', 'l', 'e', 'o']"
g_o__y__,e,geophyte,"['r', 'l', 's', 'n']"
bu____ad,k,bulkhead,"['r', 't', 'c']"
i_oscop_,n,inoscopy,"['e', 'd']"
p_nmixi_,a,panmixia,['e']
e______r,c,educator,"['n', 'i', 'l', 's', 'p']"
c_r__r__,e,cerebron,"['a', 'i', 't', 'u', 's']"
a_i_e_i_,c,acinetic,"['m', 'd', 'r', 's']"
_nb_____,h,unbreath,"['i', 'o', 'l', 's', 'd']"
__a_l___,r,cradling,"['e', 's', 't', 'h', 'o']"
___tt__y,r,cluttery,"['i', 'a', 'o', 's', 'n']"
tr_mne__,s,trimness,['u']
wa_so_sy,n,wansonsy,"['r', 'p']"
_hi__o__,w,whipworm,"['e', 's', 'n', 'l']"
_ol___t_,e,solenite,"['p', 'y', 'a']"
_a____ea,c,campodea,"['i', 'l', 'n', 'r', 's']"
b___si__,e,beresite,"['n', 'o', 'a', 'l']"
d_p_p__d,i,dipeptid,"['o', 'a', 'l', 'u']"
xant_ane,h,xanthane,"['r', 'l']"
b__ugit_,e,belugite,"['a', 'r']"
_ub_lous,i,nubilous,"['e', 'a']"
__h_r___,a,asharasi,"['e', 'o', 'n', 't']"
av_a____,i,avianize,"['s', 'l', 't', 'r']"
__armful,h,charmful,['s']
__pu_pl_,e,bepurple,"['i', 'o', 'm', 's']"
__b_l_ve,o,subolive,"['a', 'r', 'n']"
___gu_on,s,ferguson,"['a', 'i', 'l', 't']"
_____iu_,m,proemium,"['a', 's', 't', 'n']"
o___eo__,r,ostreoid,"['u', 'l', 'a', 'n', 'c']"
a___n___,s,assented,"['i', 'r', 'o', 'l', 'u']"
a_geli_a,n,angelina,"['c', 'r']"
___ndin_,o,sounding,"['r', 'a', 'e']"
___b_us_,r,tarbrush,"['o', 'e', 'i']"
____s__n,r,overspan,"['i', 't', 'l', 'c', 'm']"
e__de___,i,epidemic,"['n', 'o', 'a', 'r', 't']"
m_nn____,e,mannered,"['i', 'o', 'l', 's', 't']"
__n__o__,s,sensuous,"['i', 'a', 'r']"
_e_i_i_y,l,gelidity,"['r', 'n', 'c']"
un_____d,t,unbitted,"['a', 'r', 'o']"
_n____l_,c,untackle,"['i', 'o', 'r', 's', 'd']"
g___n___,r,groinery,"['a', 'l', 's', 't', 'u']"
h__e__ew,o,honeydew,"['r', 'l', 'i', 'a']"
m__s_m__,a,marshman,"['o', 'e', 'i', 'l', 'u']"
_emi_ole,s,seminole,['r']
___i_is_,v,nativism,"['e', 'o', 'r', 'c', 'l']"
enc_a_et,r,enclaret,['h']
f____an_,t,fluitant,"['o', 'd', 'e', 'r']"
se___ri_,a,septoria,"['l', 'n', 'c', 'u']"
_ha_____,r,rhapsody,"['e', 'c', 'i', 'n', 'l']"
__s____y,i,disedify,"['o', 'a', 'n', 't', 'r']"
_h_re_u_,o,choregus,"['t', 'a', 'l', 'i']"
__tt__og,f,pettifog,"['l', 'r', 'b', 'a']"
c_an_pin,r,crankpin,"['s', 'o']"
dredg_ng,i,dredging,"['a', 'o']"
__n_____,a,waneatta,"['i', 'o', 'r', 's']"
p__l_s_s,i,ptilosis,"['h', 'e', 'a']"
__nd__v_,a,bandhava,"['e', 'i', 'o', 'r']"
___b_bl_,r,curbable,"['i', 'o', 't', 'n', 's']"
_an_h_n_,e,xanthene,"['i', 'c', 'g', 's']"
sa_m_net,o,salmonet,"['i', 'r']"
___n__r_,k,skunkery,"['i', 'o', 'a', 't']"
_a_a___r,l,balander,"['t', 'c', 's', 'm']"
_a__ona_,p,patronal,"['c', 'm', 'g', 'b']"
___n__an,o,townsman,"['i', 'e', 'r', 'h']"
u_dieted,n,undieted,"['p', 'o']"
___igi__,r,religion,"['t', 's', 'a', 'c', 'u']"
elegi_s_,a,elegiast,['o']
l_ann_ss,e,leanness,['i']
j_c_____,a,jacobaea,"['i', 'n', 's', 't', 'r']"
_ok_____,h,pokerish,"['a', 'n', 't', 'l']"
__brally,u,umbrally,"['i', 'e']"
s__li_t_,a,spoliate,"['c', 'n', 'u', 'b']"
eu_u_iu_,b,eugubium,"['r', 's', 'l']"
reaff_rd,o,reafford,['i']
ort_opod,h,orthopod,"['i', 's']"
e____ery,n,enginery,"['a', 'o', 'l']"
h__a_ia_,o,homaxial,"['n', 'e', 'd']"
pos__don,e,poseidon,"['t', 'a']"
_perette,o,operette,['s']
r___r___,s,restress,"['o', 'i', 'a', 'n']"
_dm_tt__,a,admitter,"['o', 'n', 'l']"
_uts__n_,o,outslink,"['a', 'e', 'r', 'd']"
__i____t,a,faineant,"['r', 'o', 's', 'l', 'c']"
j___f___,h,jackfish,"['e', 'o', 'n', 'r', 'l']"
pro_urer,c,procurer,['s']
__ga_it_,o,organity,"['e', 'l', 'u']"
unai_ing,m,unaiming,['l']
_u_or__n,a,sutorian,"['e', 'l', 'c']"
_o__it__,n,nonvital,"['r', 'e', 'c', 's']"
d__i__u_,s,desirous,"['n', 'l', 't', 'a']"
_ent_ale,r,centrale,"['v', 'u']"
_l_ml___,s,plumless,"['i', 'a', 'o', 'n']"
tic_bi_d,r,tickbird,"['n', 'e']"
__l_di_l,o,melodial,"['c', 's', 'p']"
ge_esi_l,a,genesial,['r']
_m_h____,s,omphalus,"['i', 'e', 'r', 'n']"
f__f__o_,a,fanfaron,"['i', 'l', 'e']"
s_m_hil_,y,symphily,['o']
gu_y____,o,guayroto,"['e', 'i', 'n', 'l']"
l__er_e_,i,liveried,"['a', 't', 'n', 'o']"
_h____ed,c,chaliced,"['t', 'o', 'r', 's']"
mo_nlik_,e,mornlike,['a']
__i____r,h,whipster,"['n', 'o', 'a', 'l', 'c']"
ring_bl_,a,ringable,['o']
cust_d_s,o,custodes,['i']
_it___i_,s,mitapsis,"['r', 'e', 'n', 'h', 'o']"
_s_u_ely,t,astutely,['o']
___allo_,r,reballot,"['c', 'n', 's', 'w']"
c___u___,h,chasuble,"['o', 'r', 'n', 't', 'i']"
esc_len_,u,esculent,['o']
f___d_ry,o,foujdary,"['e', 'i', 'n', 'l']"
_eleran_,g,jelerang,['t']
_n_ha__n,v,unshaven,"['c', 'i', 't']"
__rc____,h,purchase,"['i', 'o', 'n', 't', 'l']"
___s____,o,outstood,"['e', 'i', 'r', 'a', 'n']"
_e___t__,a,fellatah,"['i', 'r', 'o', 'n', 's']"
__licina,h,helicina,['o']
phy_____,l,phyllade,"['o', 'i', 's']"
_a_a___d,h,panached,"['r', 'l', 't', 's']"
quain__y,l,quaintly,['e']
__oilage,s,spoilage,['r']
a_a_l___,h,anaglyph,"['e', 'i', 's', 't', 'o']"
pro_____,a,pronaval,"['e', 'i', 't']"
ay____t_,e,ayenbite,"['s', 'o', 'l']"
ins_n_ly,a,insanely,['t']
k_lo_dal,e,keloidal,"['y', 'r']"
un_r__u_,a,unartful,"['o', 'e', 'i', 's']"
_m_____e,a,ampliate,"['o', 'n', 'r', 's', 'u']"
p_anu_an,l,planulan,['m']
fo___o__,r,foreworn,"['i', 't', 'a', 's', 'l']"
mod_c_t_,i,modicity,"['a', 'e']"
_utsm_rt,a,outsmart,['e']
d_cigra_,e,decigram,['o']
a__nall_,o,atonally,"['g', 'i', 'r']"
u____g__,h,unbright,"['e', 'a', 'o', 'l']"
_ee__ai_,l,leeftail,"['r', 'd', 'n', 'p']"
ch_ll_ly,i,chillily,['e']
_npri_ed,u,unprimed,"['t', 'c']"
_____r_a,i,listeria,"['o', 'n', 'c', 'u', 'p']"
f_dd____,e,fodderer,"['i', 'a', 'l']"
kr____i_,a,kraunhia,"['o', 'e', 't', 's']"
sovi__ic,e,sovietic,"['n', 'l']"
__id__in,e,gridelin,"['a', 'o', 's', 't']"
nus_iris,a,nusairis,['p']
_v__p_us,o,overplus,"['a', 'i', 'n', 't']"
_icroti_,p,picrotin,['m']
___s___y,o,powsoddy,"['e', 'i', 'r', 'a', 't']"
p_gb_ard,o,pegboard,['i']
nov___s_,h,novelish,"['a', 't', 'r', 'm']"
c_uliss_,o,coulisse,"['a', 'h']"
__h___n_,a,exhalant,"['i', 'o', 'r', 's', 'c']"
existe_t,n,existent,"['c', 'r']"
____a___,s,systasis,"['e', 'r', 'l', 'n', 'o']"
_ra_edl_,y,frayedly,"['g', 'v']"
___ty___,i,isotypic,"['e', 'a', 'r', 'n', 'l']"
el_t___s,o,elytrous,"['a', 'i', 'n']"
_e_o_de_,w,bepowder,"['n', 'l', 's', 'i']"
ch_____k,o,chapbook,"['i', 'e', 'r', 'n']"
_____g_y,r,sprangly,"['i', 'e', 'o', 't', 'c']"
overj_m_,p,overjump,['a']
__m_m_ll,i,semimill,"['o', 'a', 'r', 'u']"
f___l_n_,i,fiddling,"['e', 'a', 'o']"
tric__me,o,trichome,"['a', 'k']"
cer_u_us,o,cernuous,['l']
_e_e_a_e,s,serenate,"['g', 'd', 'l', 'v']"
___e__ct,u,aqueduct,"['r', 'n', 'i']"
_odsoli_,p,podsolic,"['n', 'g']"
___r__m_,o,coprosma,"['e', 'i', 't', 'n', 'u']"
mia_mata,s,miasmata,['l']
____n_ss,l,fullness,"['i', 'o', 'a', 'r']"
por_st__,i,poristic,"['e', 'y']"
en_c_o__,a,enactory,"['i', 's', 'h']"
se_s_b_e,a,sensable,"['i', 'o', 'r', 'p']"
p__mak__,g,pigmaker,"['o', 'd', 'n', 't']"
______sh,i,unfinish,"['o', 'e', 'r', 'a']"
_r_orou_,a,arborous,"['i', 'e', 't']"
___t___e,v,postvide,"['a', 'r', 'n', 'l']"
_r____xa,o,oreodoxa,"['i', 't', 'n']"
_i_c__en,a,biscayen,"['h', 'o', 'm']"
__idless,o,voidless,"['r', 'a']"
______or,i,beliquor,"['a', 't', 'n', 's']"
_h_r_ue_,a,charqued,"['o', 't', 's']"
_e___ple,c,centuple,"['r', 'i', 'a']"
___re___,s,anuresis,"['o', 't', 'l', 'c', 'p']"
_reeshie,c,creeshie,"['f', 'g']"
__n_e___,s,sunsetty,"['o', 'a', 'i', 'r', 'l']"
b_tu_ite,a,batukite,['r']
harar_s_,e,hararese,['i']
r___l__i,o,roxolani,"['e', 't', 's', 'u']"
blowb_ll,a,blowball,"['e', 'i']"
_entup_y,l,centuply,"['s', 'r']"
___oc_a_,r,rheocrat,"['l', 'i', 'n']"
sem_t_me,i,semitime,"['o', 'a']"
__tti___,s,ofttimes,"['n', 'a', 'r', 'u', 'l']"
_i_ation,h,hidation,"['l', 'v']"
__f_____,e,befetter,"['i', 'n', 'a', 'o', 'l']"
dia_re_e,t,diatreme,"['g', 'p']"
i__e__o_,n,inventor,"['s', 'l', 'a', 'm']"
om______,s,omasitis,"['e', 'n', 'r', 'l', 'c']"
f___i_ly,v,fervidly,"['o', 'a', 'n', 's']"
ang_no_d,i,anginoid,['e']
_ob__so_,e,gobiesox,"['n', 'r', 'l', 'a']"
_l__a___,p,flypaper,"['s', 'i', 't', 'o']"
u_m___e_,o,unmooted,"['a', 'i', 'r']"
_r_zi_r_,a,braziery,"['o', 'g', 't', 'f']"
_o_o___n,r,socotran,"['i', 'e', 'l', 'm']"
isola_l_,e,isolable,"['y', 'u']"
___bo___,a,saxboard,"['e', 'i', 'n', 't', 'l']"
g_i__a__,l,grillade,"['s', 't', 'n', 'u']"
_olo_ola,c,colocola,"['h', 'p']"
dr___a_d,o,drofland,"['e', 'i', 'w']"
neenga_u,t,neengatu,"['b', 'r']"
a_ti_at_,v,activate,"['n', 's', 'm']"
__lution,a,ablution,"['e', 'c']"
tau_anga,r,tauranga,"['b', 'k']"
_____ive,a,pacative,"['o', 'r', 'n', 's']"
